,,,0
穀類,アマランサス玄穀,Calorie_cal,358
穀類,あわ精白粒,Calorie_cal,367
穀類,あわあわもち,Calorie_cal,214
穀類,えんばくオートミール,Calorie_cal,380
穀類,おおむぎ七分つき押麦,Calorie_cal,341
穀類,おおむぎ押麦,Calorie_cal,340
穀類,おおむぎ米粒麦,Calorie_cal,343
穀類,おおむぎ大麦めん乾,Calorie_cal,339
穀類,おおむぎ大麦めんゆで,Calorie_cal,122
穀類,おおむぎ麦こがし,Calorie_cal,391
穀類,きび精白粒,Calorie_cal,363
穀類,こむぎ［玄穀］国産普通,Calorie_cal,337
穀類,こむぎ［玄穀］輸入軟質,Calorie_cal,348
穀類,こむぎ［玄穀］輸入硬質,Calorie_cal,334
穀類,こむぎ［小麦粉］薄力粉1等,Calorie_cal,367
穀類,こむぎ［小麦粉］薄力粉2等,Calorie_cal,368
穀類,こむぎ［小麦粉］中力粉1等,Calorie_cal,367
穀類,こむぎ［小麦粉］中力粉2等,Calorie_cal,368
穀類,こむぎ［小麦粉］強力粉1等,Calorie_cal,365
穀類,こむぎ［小麦粉］強力粉2等,Calorie_cal,366
穀類,こむぎ［小麦粉］強力粉全粒粉,Calorie_cal,328
穀類,こむぎ［小麦粉］プレミックス粉お好み焼き用,Calorie_cal,352
穀類,こむぎ［小麦粉］プレミックス粉ホットケーキ用,Calorie_cal,365
穀類,こむぎ［小麦粉］プレミックス粉から揚げ用,Calorie_cal,331
穀類,こむぎ［小麦粉］プレミックス粉天ぷら用,Calorie_cal,351
穀類,こむぎ［パン類］食パン,Calorie_cal,264
穀類,こむぎ［パン類］コッペパン,Calorie_cal,265
穀類,こむぎ［パン類］乾パン,Calorie_cal,393
穀類,こむぎ［パン類］フランスパン,Calorie_cal,279
穀類,こむぎ［パン類］ライ麦パン,Calorie_cal,264
穀類,こむぎ［パン類］ぶどうパン,Calorie_cal,269
穀類,こむぎ［パン類］ロールパン,Calorie_cal,316
穀類,こむぎ［パン類］クロワッサン,Calorie_cal,448
穀類,こむぎ［パン類］イングリッシュマフィン,Calorie_cal,228
穀類,こむぎ［パン類］ナン,Calorie_cal,262
穀類,こむぎ［パン類］ベーグル,Calorie_cal,275
穀類,こむぎ［うどん・そうめん類］うどん生,Calorie_cal,270
穀類,こむぎ［うどん・そうめん類］うどんゆで,Calorie_cal,105
穀類,こむぎ［うどん・そうめん類］干しうどん乾,Calorie_cal,348
穀類,こむぎ［うどん・そうめん類］干しうどんゆで,Calorie_cal,126
穀類,こむぎ［うどん・そうめん類］そうめん・ひやむぎ乾,Calorie_cal,356
穀類,こむぎ［うどん・そうめん類］そうめん・ひやむぎゆで,Calorie_cal,127
穀類,こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎ乾,Calorie_cal,342
穀類,こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎゆで,Calorie_cal,127
穀類,こむぎ［中華めん類］中華めん生,Calorie_cal,281
穀類,こむぎ［中華めん類］中華めんゆで,Calorie_cal,149
穀類,こむぎ［中華めん類］蒸し中華めん,Calorie_cal,198
穀類,こむぎ［中華めん類］干し中華めん乾,Calorie_cal,365
穀類,こむぎ［中華めん類］干し中華めんゆで,Calorie_cal,140
穀類,こむぎ［中華めん類］沖縄そば生,Calorie_cal,284
穀類,こむぎ［中華めん類］沖縄そばゆで,Calorie_cal,147
穀類,こむぎ［中華めん類］干し沖縄そば乾,Calorie_cal,351
穀類,こむぎ［中華めん類］干し沖縄そばゆで,Calorie_cal,148
穀類,こむぎ［即席めん類］即席中華めん油揚げ味付け,Calorie_cal,445
穀類,こむぎ［即席めん類］即席中華めん油揚げ,Calorie_cal,458
穀類,こむぎ［即席めん類］即席中華めん非油揚げ,Calorie_cal,356
穀類,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ,Calorie_cal,448
穀類,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば,Calorie_cal,436
穀類,こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ,Calorie_cal,342
穀類,こむぎ［即席めん類］和風スタイル即席カップめん油揚げ,Calorie_cal,451
穀類,こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティ乾,Calorie_cal,379
穀類,こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティゆで,Calorie_cal,165
穀類,こむぎ［マカロニ・スパゲッティ類］生パスタ生,Calorie_cal,247
穀類,こむぎ［ふ類］生ふ,Calorie_cal,163
穀類,こむぎ［ふ類］焼きふ釜焼きふ,Calorie_cal,385
穀類,こむぎ［ふ類］焼きふ板ふ,Calorie_cal,379
穀類,こむぎ［ふ類］焼きふ車ふ,Calorie_cal,387
穀類,こむぎ［その他］小麦はいが,Calorie_cal,426
穀類,こむぎ［その他］小麦たんぱく粉末状,Calorie_cal,437
穀類,こむぎ［その他］小麦たんぱく粒状,Calorie_cal,111
穀類,こむぎ［その他］小麦たんぱくペースト状,Calorie_cal,159
穀類,こむぎ［その他］ぎょうざの皮,Calorie_cal,291
穀類,こむぎ［その他］しゅうまいの皮,Calorie_cal,295
穀類,こむぎ［その他］ピザ生地,Calorie_cal,268
穀類,こむぎ［その他］ちくわぶ,Calorie_cal,171
穀類,こむぎ［その他］パン粉生,Calorie_cal,280
穀類,こむぎ［その他］パン粉半生,Calorie_cal,319
穀類,こむぎ［その他］パン粉乾燥,Calorie_cal,373
穀類,こむぎ［その他］冷めん生,Calorie_cal,252
穀類,こめ［水稲穀粒］玄米,Calorie_cal,353
穀類,こめ［水稲穀粒］半つき米,Calorie_cal,356
穀類,こめ［水稲穀粒］七分つき米,Calorie_cal,359
穀類,こめ［水稲穀粒］精白米うるち米,Calorie_cal,358
穀類,こめ［水稲穀粒］精白米もち米,Calorie_cal,359
穀類,こめ［水稲穀粒］精白米インディカ米,Calorie_cal,369
穀類,こめ［水稲穀粒］はいが精米,Calorie_cal,357
穀類,こめ［水稲穀粒］発芽玄米,Calorie_cal,356
穀類,こめ［水稲めし］玄米,Calorie_cal,165
穀類,こめ［水稲めし］半つき米,Calorie_cal,167
穀類,こめ［水稲めし］七分つき米,Calorie_cal,168
穀類,こめ［水稲めし］精白米うるち米,Calorie_cal,168
穀類,こめ［水稲めし］精白米もち米,Calorie_cal,202
穀類,こめ［水稲めし］はいが精米,Calorie_cal,167
穀類,こめ［水稲めし］発芽玄米,Calorie_cal,167
穀類,こめ［水稲全かゆ］玄米,Calorie_cal,70
穀類,こめ［水稲全かゆ］半つき米,Calorie_cal,71
穀類,こめ［水稲全かゆ］七分つき米,Calorie_cal,71
穀類,こめ［水稲全かゆ］精白米,Calorie_cal,71
穀類,こめ［水稲五分かゆ］玄米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］半つき米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］七分つき米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］精白米,Calorie_cal,36
穀類,こめ［水稲おもゆ］玄米,Calorie_cal,20
穀類,こめ［水稲おもゆ］半つき米,Calorie_cal,21
穀類,こめ［水稲おもゆ］七分つき米,Calorie_cal,21
穀類,こめ［水稲おもゆ］精白米,Calorie_cal,21
穀類,こめ［陸稲穀粒］玄米,Calorie_cal,351
穀類,こめ［陸稲穀粒］半つき米,Calorie_cal,355
穀類,こめ［陸稲穀粒］七分つき米,Calorie_cal,358
穀類,こめ［陸稲穀粒］精白米,Calorie_cal,357
穀類,こめ［陸稲めし］玄米,Calorie_cal,164
穀類,こめ［陸稲めし］半つき米,Calorie_cal,166
穀類,こめ［陸稲めし］七分つき米,Calorie_cal,168
穀類,こめ［陸稲めし］精白米,Calorie_cal,168
穀類,こめ［うるち米製品］アルファ化米一般用,Calorie_cal,388
穀類,こめ［うるち米製品］アルファ化米学校給食用強化品,Calorie_cal,388
穀類,こめ［うるち米製品］おにぎり,Calorie_cal,179
穀類,こめ［うるち米製品］焼きおにぎり,Calorie_cal,181
穀類,こめ［うるち米製品］きりたんぽ,Calorie_cal,210
穀類,こめ［うるち米製品］上新粉,Calorie_cal,362
穀類,こめ［うるち米製品］玄米粉,Calorie_cal,395
穀類,こめ［うるち米製品］米粉,Calorie_cal,374
穀類,こめ［うるち米製品］米粉パン,Calorie_cal,255
穀類,こめ［うるち米製品］米粉めん,Calorie_cal,265
